Review_ID,User_ID,Chocolate_Bar_ID,Brand,Rating,Taste,Texture,Sweetness,Packaging,Aroma,Price_Range,Review_Text,
54,e373b83b,6a98c852,Dark Bliss,3,4,1,3,5,4,Medium,Quickly cost course light spring occur live cup continue.,
55,343b5478,4eff60b2,Dark Bliss,4,2,3,4,5,3,High,Course final every happy after push doctor risk.,
56,bee14183,5497157a,CocoaCrave,2,4,3,2,3,1,High,Story consider lead former relate every.,
57,9bba24a4,b97d3125,SweetTreats,2,3,1,1,3,5,Medium,Couple she generation city provide unit despite interview ahead.,
58,5f8ef9bc,78309518,Dark Bliss,1,1,3,3,4,1,Low,Candidate challenge difficult kind respond different end decision study democratic personal difference.,
59,9ca0e3cd,6bdcb79f,SweetTreats,1,2,2,4,2,2,Medium,Effect leg yeah sport listen strong item American.,
60,ed376ddf,4d9c8fbd,CocoaCrave,4,1,2,5,4,2,Low,Consumer near hotel gas senior true record state.,
61,222a3496,c4e7bfa9,Dark Bliss,1,5,3,2,3,3,Medium,Page fill study option action grow treatment seat democratic stay out listen certainly.,
62,5ae323df,c079ecf0,CocoaCrave,4,5,3,5,2,1,Medium,Remain main cover difficult Democrat travel meeting important available character.,
63,62ce8428,0b1db4a5,Dark Bliss,4,5,4,4,3,1,Medium,Improve manage worry compare some few democratic.,
64,f9ad81d8,569599bb,SweetTreats,5,2,3,1,5,2,Medium,Year man world effort blue all stay walk.,
65,fce6b577,ee895467,SweetTreats,3,5,5,2,3,2,Low,Why wait usually serious whose themselves.,
66,ead41693,51866a89,ChocoDelight,2,3,1,5,3,2,High,Somebody performance tell individual provide early.,
67,6ee1b00e,be1f2ec9,CocoaCrave,5,5,1,4,2,3,Medium,On season visit current too arm task economic she protect development more rate.,
68,4a78d33b,561abf06,SweetTreats,4,4,1,1,2,4,Medium,Not education thousand likely step difference move build stop.,
69,4a10a3dc,6ef00e6e,Dark Bliss,1,5,3,2,5,3,Medium,Star here difference better star sit stay standard.,
70,d5c11902,d5d76d5f,SweetTreats,1,2,2,1,4,1,Medium,Foreign group also turn into organization involve buy within three recent.,
71,e8b71887,de188662,SweetTreats,4,5,2,4,4,1,High,Up always fund word evening almost try method civil design wide central.,
72,843fe854,6184eb2a,CocoaCrave,3,4,5,5,5,3,Low,Age exist style admit though almost just race.,
73,c24c3dd1,23bf3a22,Dark Bliss,4,3,5,4,1,3,Low,Knowledge difficult true set send history get fish will town.,
74,57e3a263,913117b1,MilkMate,1,5,3,2,2,1,Low,She seat notice billion direction food current rest cost hundred take and.,
75,735f10e0,26103699,MilkMate,2,1,3,3,3,1,Low,Son no management popular day human since.,
76,08142a40,f5f0fa33,Dark Bliss,2,1,5,2,2,1,Medium,Hope prove growth top dinner live outside husband job take author pressure so.,
77,dabb7528,25805c75,Dark Bliss,5,3,1,2,5,4,High,Less cup available interview current western song out forget break military.,
78,fbcf2df7,bec16781,MilkMate,2,1,1,2,5,1,High,Alone summer mother account these wear arm firm great throw mention clear.,
79,51d87d2f,0b0665d8,SweetTreats,2,2,4,4,3,1,Low,Accept report discuss century sing much tend level floor culture age.,
80,2964cbad,4a16e4d9,Dark Bliss,2,2,2,5,1,5,Medium,Summer process five around run have edge level.,
81,eef3e61e,1ee77a69,SweetTreats,2,5,2,3,3,5,Low,Pass research themselves ago rich region oil identify Congress.,
82,e5970f82,36a6e174,ChocoDelight,2,2,2,2,2,2,High,Career similar point people you green find view.,
83,0f04ab37,f01436be,Dark Bliss,5,1,1,5,2,5,High,Develop I letter prevent region model structure no run.,
84,73521f5b,e1033e77,CocoaCrave,5,5,3,5,3,3,Medium,Church political charge poor near certain court major.,
85,927666f7,f4fbc839,CocoaCrave,2,4,3,3,2,1,High,Easy great month treatment budget truth look foot wear.,
86,9b75e27d,c35f341a,SweetTreats,2,1,2,4,5,4,High,Participant indeed participant might listen choice must.,
87,ae2ee9eb,7b7a0cfc,ChocoDelight,4,4,2,2,4,3,Medium,Protect everybody none race about box beyond together.,
88,a7c16015,5d74f3b5,CocoaCrave,5,3,3,4,2,2,High,Life agreement same professional wind pass nearly strategy why music situation.,
89,e53cb5ee,c53d4831,SweetTreats,3,3,2,3,2,2,High,Quality speech author suggest expect second forward back trouble different tough window machine.,
90,64dd3e1d,8c25c3d9,ChocoDelight,2,2,4,1,2,4,High,Item among difficult law this black likely.,
91,77ad24c6,4e1fadf9,SweetTreats,5,4,1,3,1,1,Medium,Her home everyone than what sometimes national family war movement.,
92,d5886418,c2f14664,Dark Bliss,4,3,2,2,3,1,Low,Agent above tax nature recently action item college fine movement language.,
93,6dbcc8ba,049f7d46,Dark Bliss,1,2,5,1,1,2,Low,Citizen reveal Democrat space continue most spring protect each others most body.,
94,b3e495f9,2ea8d502,SweetTreats,1,3,1,2,5,5,Low,Tax knowledge work serious according TV nearly away.,
95,0ebf31bd,1ef6a362,ChocoDelight,1,1,3,3,4,4,Medium,Compare mention save author piece factor price learn have woman check participant.,
96,1a5ac6d6,c2cebe04,ChocoDelight,5,5,3,4,2,3,High,Quickly deal near score establish degree ago section natural conference even call.,
97,ef78c2e9,f37fbcae,Dark Bliss,2,5,2,2,1,2,High,Role those similar force agency night tend five nearly become south region.,
98,013e652a,0efd396d,ChocoDelight,4,4,1,1,5,1,Low,Hour whole firm authority include since nature today must write view avoid.,
99,a38c172b,cb1be963,MilkMate,4,1,4,5,3,4,High,Weight write somebody get you recent cell appear affect.,
100,84d43070,ba280c9a,Dark Bliss,5,3,4,4,5,3,High,Deal dinner condition different meet since board throughout think.,
101,397db8bf,11eabff8,CocoaCrave,2,1,1,1,2,3,Medium,General more few new listen maybe walk relate well.,
102,9720c1bc,b964db1e,MilkMate,5,1,4,3,2,1,High,Environment tend show take high smile during they around.,
103,b2ef0929,e9e59c3a,Dark Bliss,3,2,3,5,5,5,High,Likely unit public woman candidate full fact right painting food model center plant.,
104,287173f9,86718956,Dark Bliss,3,3,1,3,4,5,High,Really threat go college themselves miss window tend I wonder place.,
105,ca1ae12f,aa16ab99,CocoaCrave,3,3,5,3,4,1,High,Despite opportunity energy sound either remain many fill against within summer between.,
106,dd099ed1,f0fb5076,Dark Bliss,1,1,4,3,5,5,Low,Outside design page source religious firm must perform with view safe huge.,
107,63807a2b,09a62425,ChocoDelight,1,2,2,1,5,4,Medium,Minute like sit material become agreement evidence view tonight less then.,
108,eadf7aed,8fdf1de0,MilkMate,1,1,5,1,4,5,High,Clear stage mention sign west baby citizen win total television.,
109,17f2c28a,681090c3,ChocoDelight,4,3,2,4,4,4,Low,Impact Democrat affect you remain talk public fire computer property south western.,
110,b62f6db8,9d3a761a,SweetTreats,3,4,3,4,5,4,Medium,Impact be a goal her floor available somebody under.,
111,5d9d40d5,b9470bae,CocoaCrave,2,5,5,1,3,2,Medium,Raise my far church sell card serve.,
112,b611017c,6b2bd73b,CocoaCrave,5,4,3,2,3,1,High,Position fine take want painting great onto stuff enjoy.,
113,51c1e040,65c062de,CocoaCrave,3,5,1,3,3,5,Medium,Region herself career attorney again than argue give outside.,
114,872331f8,c5edf7a3,SweetTreats,2,5,5,3,1,5,Low,Think decade determine sometimes media suggest make because majority.,
115,f60f5b80,9d5af71c,MilkMate,4,2,5,5,5,4,High,Organization character world skin that prove thank training positive hair.,
116,8fa5acc9,4b3f5ce1,CocoaCrave,5,1,3,4,1,4,High,Worker century defense garden about past course candidate another realize our different.,
117,a9037b90,46a143db,CocoaCrave,5,5,4,1,5,2,Low,Four them land share investment defense information family kind somebody nature.,
118,ea591f9c,4dbdc2a9,Dark Bliss,4,4,3,2,1,3,High,Situation traditional million eat authority have central serve hotel especially.,
119,ccf974fa,4f7b10a5,CocoaCrave,4,3,3,3,4,4,Medium,Benefit level degree indeed direction one need democratic quickly young myself.,
120,9956dbbe,6ba30be3,SweetTreats,1,1,5,3,1,5,Medium,Official news street perhaps standard health institution thing remember authority allow writer.,
121,1bbdd8f5,635e7111,MilkMate,2,5,5,4,3,4,High,Majority woman each decide compare stuff argue institution threat move choice.,
122,e218147c,3c026d3e,Dark Bliss,3,4,1,1,3,3,Medium,Author cell soon however answer describe.,
123,0d317137,cc84e5ee,SweetTreats,3,3,4,4,4,3,High,Him behind wear central avoid nation toward leg.,
124,5bcfb143,f365f016,SweetTreats,3,5,1,1,3,3,Low,Republican hard accept seat room opportunity operation.,
125,22b2a8ba,21e61a36,ChocoDelight,2,5,5,3,2,2,Low,Term word per though trip stop street we purpose network design plant large.,
126,82f745dd,e3cce4b4,ChocoDelight,1,1,5,2,3,1,High,Subject oil so risk suddenly all difference very local beautiful space have.,
127,7f3a042b,ed05b301,ChocoDelight,5,4,1,5,4,3,Medium,Put here want final entire fact enough southern listen run.,
128,347bc1a6,a1c99f1a,SweetTreats,5,2,5,5,4,5,Low,Public off religious action buy determine hair expect step.,
129,d0aef273,266b5011,CocoaCrave,3,5,1,4,5,1,Medium,Bar look green if democratic south.,
130,e6a7c870,25a2b45d,MilkMate,2,3,3,1,2,4,High,Pay avoid participant seem real message career card pressure hundred read break.,
131,114adc92,803b35cb,ChocoDelight,5,3,4,1,3,1,Low,Laugh this lawyer air page phone.,
132,41d362b7,f8e3d7b7,Dark Bliss,2,2,2,3,5,2,High,According keep wall four remember reveal include.,
133,55a9678b,5afff08b,ChocoDelight,5,3,5,3,1,1,Medium,Room return might total major yes kid mother throw decide.,
134,02b9ea86,740ea00f,CocoaCrave,5,3,1,5,4,4,Medium,Effort former move share pull inside weight its first thousand military star.,
135,bd157cb4,037a2ef9,SweetTreats,4,3,4,3,3,3,Low,Agent language avoid dinner character recognize thing against.,
136,b4b3a83f,1fecfebd,ChocoDelight,3,2,2,1,4,3,Low,Wind image move technology rock finally individual miss.,
137,5c903c3e,b366925a,Dark Bliss,4,2,4,4,3,3,High,Call this interest seven receive lay yeah save work writer score night picture.,
138,603483f3,c50d9a6e,Dark Bliss,4,5,3,3,2,5,Medium,Question yeah his something relate break fine approach agency cover make fire space.,
139,9f98d85b,119847f1,ChocoDelight,1,3,5,1,1,3,Medium,Response performance apply once laugh fear student large.,
140,c1cb0190,56f58eef,CocoaCrave,3,5,1,3,3,3,High,Cup somebody edge happy baby write artist market such edge arrive.,
141,f532438c,9673f212,Dark Bliss,2,2,4,1,1,4,Medium,Plant billion clear agent air company whatever discuss.,
142,a25ebc7f,615cd205,ChocoDelight,1,3,1,1,3,3,Low,Whether yourself though subject join building less consumer hospital season nothing.,
143,87e66744,2de8c7d5,CocoaCrave,4,2,4,3,1,2,Low,Themselves thought rule happy we herself even almost peace west.,
144,3816938e,809df261,CocoaCrave,3,1,3,5,5,1,Medium,Cut study property little wish wind try quickly.,
145,edc86aed,671b42fb,ChocoDelight,3,4,4,2,3,3,High,Develop chance hundred fight step resource born.,
146,2ce1d94e,97271cb8,Dark Bliss,3,2,4,1,4,1,Low,Machine particularly very option heavy lawyer education weight everything big four organization miss.,
147,13c2c539,cfe7d53e,SweetTreats,1,5,2,1,1,5,Medium,Issue tough world country low growth play.,
148,b4cf7853,1974cff4,ChocoDelight,3,1,1,4,1,5,Low,Think picture cold player benefit allow almost current someone leave continue between.,
149,32d86164,0916dafa,Dark Bliss,2,1,3,4,5,4,Medium,Present foot world him special our history factor perhaps interest understand position.,
150,3b699891,c8439795,CocoaCrave,2,2,2,2,1,2,Medium,Couple field send ask election establish guess north nor executive garden generation school.,
151,7ee56a34,214ab07c,MilkMate,4,3,5,3,5,5,High,Least long third situation buy loss read federal key.,
152,407a3615,c1238bf7,CocoaCrave,4,2,4,5,4,2,Low,Again shoulder program yard would interesting buy analysis word.,
153,593b1125,5f4c2398,Dark Bliss,1,2,3,5,4,4,Medium,Both market rate price card should.,
154,f046900e,8d9b0c86,MilkMate,1,3,3,1,5,1,Medium,Cultural wait impact plant visit me agent available mission lot three under.,
155,dffb7886,16e563ed,ChocoDelight,5,2,2,4,2,3,Low,Time safe ability represent spring employee compare subject fast executive radio cost media.,
156,ad2e9279,cdc05096,MilkMate,5,2,4,3,2,2,High,Product life process far since spring civil ready face economy born.,
157,4ed736de,42a1778a,SweetTreats,1,1,5,5,2,5,Medium,Enjoy rule over new help move art truth.,
158,229241fa,42daf4cd,Dark Bliss,4,1,1,5,4,4,High,Class set force onto information he easy beyond protect.,
159,00510b12,9d1643a4,SweetTreats,4,1,4,5,4,1,Low,Store spend finally day authority seat business.,
160,35088ec7,c2ad59ca,CocoaCrave,1,5,1,4,3,3,High,Radio yourself first kitchen professor why cause owner newspaper personal.,
161,58e4a5f5,c7172dd2,ChocoDelight,4,4,1,4,3,1,Medium,Push into herself fight technology middle information green door tend career where.,
162,46466fe4,592be9a5,MilkMate,3,1,5,2,2,1,Low,Couple front option information field else play view know.,
163,a7f504f3,2e4c29bc,ChocoDelight,4,2,5,4,2,2,Low,Be project either stay entire doctor western together suffer reach perhaps easy sea.,
164,9b88520f,b97c560e,MilkMate,2,4,2,4,4,2,Low,Hear low beautiful voice last successful gun whom old television nearly.,
165,65e23f6a,d90f8a41,Dark Bliss,5,3,1,3,5,4,High,Face want mission late Congress region upon civil.,
166,489696db,d83eebe3,MilkMate,3,2,5,5,1,3,Medium,Type daughter relate manager imagine including perform save partner watch exist sort.,
167,5e9e43bb,5ee26e13,ChocoDelight,3,3,3,2,2,4,High,Campaign small enter artist because state others feel thus pull any statement plan.,
168,a0f45e76,1bf563c5,SweetTreats,5,1,4,4,2,2,Medium,Site morning pick former best market pattern car back.,
169,96f19eb2,a0f6c633,ChocoDelight,1,5,4,4,3,3,Medium,Several talk myself project firm buy.,
170,f0099fa2,091548b5,ChocoDelight,2,1,2,4,1,5,Low,Suddenly information into car word onto type front her former call news.,
171,f4e8610d,a891d4fb,ChocoDelight,2,2,1,5,3,4,Low,Everyone or language list quickly tonight many cup partner box present member senior.,
172,a1cfdaeb,3ea5dfa3,Dark Bliss,2,4,3,4,4,5,Low,We control affect throughout everyone skin truth above listen western white.,
173,9ff93b58,664b2356,SweetTreats,2,2,1,1,2,5,High,South director town citizen item before just play yet.,
174,13feb425,d88af36d,Dark Bliss,4,1,5,2,2,2,Low,Although ground down money style suddenly day.,
175,80999861,88908aa8,ChocoDelight,4,1,2,3,3,3,High,Seat account hold couple move party however avoid east radio.,
176,5b7bfd9c,4279ef9a,SweetTreats,3,3,5,3,1,1,High,Upon quality different black first during compare add movie million.,
177,d0e170e6,e509bfa1,CocoaCrave,3,1,2,1,2,1,Medium,Keep town class age report offer class major.,
178,3973916a,fe0f01dc,SweetTreats,1,2,5,3,2,5,Medium,Art concern happy year tend impact it star the.,
179,e15ec8df,5d1871fe,MilkMate,3,1,4,3,2,2,Low,Operation word especially smile various wait edge significant.,
180,f8b3ba30,b9bc6a2b,SweetTreats,3,4,1,4,5,4,Low,Ahead who type drug yet guess have manager onto catch few look trip.,
181,38e4117a,5bc542d2,MilkMate,2,4,1,5,5,3,High,Create western score test eye fight change later catch.,
182,de83a0bc,c25ce14e,MilkMate,4,5,5,2,5,1,High,Since agency add box today official buy edge become rather shoulder.,
183,75c640c9,0d1cfcdb,SweetTreats,2,5,4,2,5,4,Medium,Artist space lose authority scene campaign necessary manager even dog world war interview.,
184,d7322630,8beea2fc,ChocoDelight,4,2,3,2,2,3,Medium,Yes speak maybe theory machine head outside discussion religious.,
185,9058d745,2cc5f8e1,Dark Bliss,4,3,5,2,3,2,High,Pm we central consider consider wall huge would side evidence ability yourself.,
186,786ceaa2,23665aff,CocoaCrave,5,1,3,3,2,5,Low,Themselves base child star wall yourself federal.,
187,563db382,aa79756d,MilkMate,1,4,5,2,1,1,Low,College population recognize agree fly born while face similar institution first style production.,
188,f6830ebb,1d62dfaa,CocoaCrave,2,3,5,4,3,2,Low,Yourself particularly nor movement upon explain strategy between include rich goal.,
189,88a69908,d2210339,CocoaCrave,5,1,4,1,5,3,Low,Also design tough official effort campaign project miss want TV forward star.,
190,a6068489,fc131a56,SweetTreats,3,5,2,1,3,4,Low,And a generation list seven hope west learn lay speech mean buy.,
191,b6a084a0,4bba3ab6,CocoaCrave,1,5,1,1,4,5,Medium,She figure memory commercial five president evening across remember actually season cold at.,
192,2f9ddfce,41a84b51,Dark Bliss,1,4,4,5,2,1,Low,Four car year dark help sister million.,
193,68a55311,54ab4644,ChocoDelight,4,5,1,2,1,4,High,Start if think system try partner argue trial such serious.,
194,9cd32750,69272beb,MilkMate,3,4,2,4,2,4,Medium,Everybody town same possible use point another physical air tree type.,
195,cfd8a572,eccdb776,SweetTreats,1,2,5,4,3,3,High,Dinner water majority ball amount physical before staff.,
196,7965a8af,eac7d285,SweetTreats,4,5,3,1,1,2,High,Sit attorney arrive in important religious store assume student management.,
197,d9037721,733302f3,SweetTreats,1,1,5,3,4,4,Low,Mr throughout stand little expect product green art today notice whatever seven claim.,
198,b6b55040,0de6aef4,CocoaCrave,3,2,3,1,1,1,Medium,Concern effect between network group serve agency particular others.,
199,79ef91f3,5b8acb82,MilkMate,1,1,3,4,5,3,Medium,Public theory board top fund enjoy including.,
200,969efbfe,e7d66d12,ChocoDelight,3,5,3,1,3,2,Medium,Catch change writer alone top per laugh present might better.,
